batch	slice	signal_id	signal_type	parent_signal_id	pathway	pathwayLabel	ligand	receptor	senderRegion	receiverRegion	interactionStrength	interactionPValue	edge_rank_within_signal	downstreamTF	tf_rank	rawCorrelation	correlation	tfPValue	tfFDR	direction	tfSelectionMode	clusterResultKey	edgeFilterLabel
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	Odontogenic	Odontogenic	4.6272624034362426e-05	0.08	5	Sall1	1.0	0.2159769075292199	0.2159769075292199	7.343167860187573e-08	6.807116606393881e-05	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	Odontogenic	Odontogenic	4.6272624034362426e-05	0.08	5	Gm5751	2.0	0.18056037438267408	0.18056037438267408	7.339302502810007e-06	0.0034017667100524384	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	Odontogenic	Odontogenic	4.6272624034362426e-05	0.08	5	Zfp661	3.0	0.16469488607533245	0.16469488607533245	4.42865745241949e-05	0.011499995040892988	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	Odontogenic	Odontogenic	4.6272624034362426e-05	0.08	5	Tfap2b	4.0	0.16364071713371903	0.16364071713371903	4.962241657343252e-05	0.011499995040892988	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	Odontogenic	Odontogenic	4.6272624034362426e-05	0.08	5	Gm4924	5.0	0.154815804021786	0.154815804021786	0.0001251390030796574	0.02320077117096848	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	Fibroblastic	Epithelial	2.1442166687502057e-05	0.26	6	Zfp459	1.0	0.1680753913870262	0.1680753913870262	4.74115775666627e-05	0.044319871628866254	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	Fibroblastic	Epithelial	2.1442166687502057e-05	0.26	6	Tfap2a	2.0	0.1618630640151166	0.1618630640151166	9.017267879728637e-05	0.044319871628866254	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	Fibroblastic	Epithelial	2.1442166687502057e-05	0.26	6	Erf	3.0	0.15063525541324152	0.15063525541324152	0.00027184976411401426	0.08907610604135867	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2b	Epithelial	PalatalMes	2.499618358182606e-09	0.3	2	Tead4	1.0	0.3158255360575628	0.3158255360575628	5.993335196070825e-29	5.891448497737621e-26	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2b	Epithelial	PalatalMes	2.499618358182606e-09	0.3	2	E430018J23Rik	2.0	0.20833313210108056	0.20833313210108056	3.9894164138194675e-13	1.9607981673922684e-10	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2b	Epithelial	PalatalMes	2.499618358182606e-09	0.3	2	Zfp551	3.0	0.1588869019259551	0.1588869019259551	3.6297332451213416e-08	1.189342593318093e-05	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2b	Odontogenic	Odontogenic	1.2677066993570447e-06	0.32	3	Zglp1	1.0	0.37858560117277884	0.37858560117277884	3.4451456524198595e-22	3.19365001979321e-19	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2b	Odontogenic	Odontogenic	1.2677066993570447e-06	0.32	3	Zfp456	2.0	0.35442646766312647	0.35442646766312647	1.8285608821325553e-19	8.475379688684395e-17	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2b	Odontogenic	Odontogenic	1.2677066993570447e-06	0.32	3	Zfp455	3.0	0.2791852877287533	0.2791852877287533	2.2908219704169283e-12	7.078639888588308e-10	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2b	Odontogenic	Odontogenic	1.2677066993570447e-06	0.32	3	Zfp791	4.0	0.21621840965813544	0.21621840965813544	7.095713089281641e-08	1.6444315084410207e-05	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2b	Odontogenic	Odontogenic	1.2677066993570447e-06	0.32	3	Stat6	5.0	0.20735785381951313	0.20735785381951313	2.431972514986319e-07	4.5088770427846356e-05	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2b	Odontogenic	Odontogenic	1.2677066993570447e-06	0.32	3	Nfil3	6.0	0.1756745469562491	0.1756745469562491	1.2986596709001999e-05	0.002006429191540809	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2b	Odontogenic	Odontogenic	1.2677066993570447e-06	0.32	3	Crtc2	7.0	0.16362823880023716	0.16362823880023716	4.9689074918574475e-05	0.006580253207074077	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2b	Odontogenic	Odontogenic	1.2677066993570447e-06	0.32	3	Zfp994	8.0	0.1622427518011082	0.1622427518011082	5.764047333783004e-05	0.006679089848021057	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2b	p<1
