slice,signal_type,parent_signal_id,pathway,ligand,receptor,sender_region,receiver_region,downstreamTF,direction
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Zfp248,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Zbtb34,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Mettl14,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Tcf7,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Odontogenic,Odontogenic,,
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,Foxc2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,Zfp457,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,Nfe2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,BC025920,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,Ak6,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,Zbtb6,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,Zfp691,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,Pitx2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,Zfp979,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,Zfp422,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,En1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,Zfp595,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,Pqbp1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,Zfp687,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,Cebpd,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,Six5,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,Zfp787,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Epithelial,Fibroblastic,Atf1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Alx3,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Gata3,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Zfp300,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Atf5,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Zfp13,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Zfp7,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Zfp874a,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Zgpat,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Zfp28,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Zfp235,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Prdm6,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Tcf7,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,E4f1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Zfp513,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3g,Nrp2_Plxna2,Fibroblastic,Fibroblastic,Nmral1,activation
